rel_time_s,timestamp,gt_east_m,gt_north_m,ekf_east_m,ekf_north_m,pos_error_m,gt_speed_mps,ekf_speed_mps,ai_speed_mps,ai_innovation_mps,ai_nis,ai_accepted,zupt_active,ekf_yaw_deg,gt_yaw_deg,yaw_error_deg,ekf_accel_bias_mps2,ekf_gyro_bias_radps,pos_uncertainty_1sigma_m
0.0,174.24,31.85,-69.46,31.86,-69.47,0.01,0.62,0.0,0.12,0.12,0.0,True,True,-63.98,0.0,-63.98,0.0308,0.0008,0.45
1.0,175.24,31.85,-69.46,31.83,-69.42,0.05,0.03,0.17,0.22,0.4,0.02,True,False,-61.84,0.0,-61.84,0.0289,0.0016,0.51
2.0,176.24,31.85,-69.46,31.64,-69.09,0.43,0.05,0.58,0.2,0.8,0.07,True,False,-59.49,0.0,-59.49,0.0281,0.0016,0.75
3.0,177.24,31.85,-69.46,31.32,-68.54,1.07,0.25,1.01,0.26,1.31,0.18,True,False,-58.8,0.0,-58.8,0.0262,0.0016,1.24
4.0,178.24,34.43,-77.03,30.83,-67.68,10.02,0.06,0.99,0.39,1.44,0.22,True,False,-60.08,0.0,-60.08,0.0233,0.0016,1.91
5.0,179.24,34.43,-77.03,30.6,-67.24,10.51,0.02,0.86,3.34,4.45,2.08,True,False,-59.01,0.0,-59.01,0.012,0.0016,2.69
6.0,180.24,34.43,-77.03,30.53,-67.09,10.68,0.76,0.54,2.62,3.39,1.19,True,False,-59.57,0.0,-59.57,0.0019,0.0016,3.56
7.0,181.24,34.43,-77.03,30.76,-67.47,10.25,2.48,0.07,3.05,3.23,1.07,True,False,-60.04,0.0,-60.04,-0.0091,0.0016,4.48
8.0,182.24,34.43,-77.03,31.33,-68.44,9.14,3.57,0.38,3.42,3.33,1.12,True,False,-60.44,0.0,-60.44,-0.0216,0.0016,5.45
9.0,183.24,34.43,-77.03,33.26,-71.56,5.59,4.32,1.21,8.62,8.22,6.77,True,False,-58.63,0.0,-58.63,-0.0548,0.0016,6.46
10.0,184.24,34.43,-77.03,35.55,-75.3,2.06,5.15,1.98,8.2,6.95,4.81,True,False,-59.09,0.0,-59.09,-0.0846,0.0016,7.5
11.0,185.24,34.43,-77.03,38.11,-79.63,4.5,5.18,2.59,7.71,5.77,3.29,True,False,-59.71,0.0,-59.71,-0.1103,0.0016,8.57
12.0,186.24,34.43,-77.03,41.37,-85.51,10.95,5.69,3.54,9.7,6.97,4.76,True,False,-60.75,0.0,-60.75,-0.1424,0.0016,9.66
13.0,187.24,-15.48,-108.54,44.69,-91.44,62.56,6.32,4.58,8.85,4.85,2.3,True,False,-60.43,0.0,-60.43,-0.1652,0.0016,10.76
14.0,188.24,-15.48,-108.54,47.81,-97.0,64.34,6.58,5.41,7.35,2.21,0.48,True,False,-60.25,0.0,-60.25,-0.1758,0.0016,11.87
15.0,189.24,-15.48,-108.54,51.23,-103.24,66.92,6.61,6.05,7.76,1.96,0.37,True,False,-60.91,0.0,-60.91,-0.1853,0.0016,13.0
16.0,190.24,-15.48,-108.54,54.37,-109.19,69.86,6.75,6.16,6.95,0.9,0.08,True,False,-62.23,0.0,-62.23,-0.1897,0.0016,14.14
17.0,191.24,-15.48,-108.54,56.8,-113.78,72.48,7.26,5.95,4.97,-1.14,0.12,True,False,-62.9,0.0,-62.9,-0.1842,0.0016,15.31
18.0,192.24,-15.48,-108.54,58.72,-117.42,74.73,6.76,5.67,3.89,-2.05,0.4,True,False,-62.98,0.0,-62.98,-0.1741,0.0016,16.51
19.0,193.24,-15.48,-108.54,60.17,-120.05,76.52,6.24,5.39,2.79,-3.0,0.86,True,False,-63.32,0.0,-63.32,-0.1594,0.0016,17.72
20.0,194.24,-15.48,-108.54,61.12,-121.6,77.71,5.17,5.04,1.68,-3.89,1.45,True,False,-63.56,0.0,-63.56,-0.1404,0.0016,18.96
21.0,195.24,-15.48,-108.54,61.71,-122.29,78.41,3.7,4.6,0.79,-4.4,1.86,True,False,-63.79,0.0,-63.79,-0.1188,0.0016,20.23
22.0,196.24,-38.57,-116.55,62.05,-122.49,100.8,2.12,4.14,0.33,-4.42,1.87,True,False,-63.82,0.0,-63.82,-0.0972,0.0016,21.52
23.0,197.24,-38.57,-116.55,62.33,-122.46,101.08,1.01,3.68,0.15,-4.09,1.61,True,False,-64.15,0.0,-64.15,-0.0772,0.0016,22.85
24.0,198.24,-38.57,-116.55,62.52,-122.4,101.27,0.41,3.26,0.12,-3.63,1.27,True,False,-63.99,0.0,-63.99,-0.0595,0.0016,24.19
25.0,199.24,-38.57,-116.55,62.65,-122.31,101.39,0.35,2.88,0.1,-3.22,0.99,True,False,-63.58,0.0,-63.58,-0.0438,0.0016,25.57
26.0,200.24,-38.57,-116.55,62.82,-122.21,101.55,0.13,2.56,0.1,-2.84,0.77,True,False,-64.03,0.0,-64.03,-0.03,0.0016,26.98
27.0,201.24,-38.57,-116.55,62.96,-122.14,101.69,0.03,2.28,0.13,-2.48,0.59,True,False,-63.79,0.0,-63.79,-0.018,0.0016,28.41
28.0,202.24,-38.57,-116.55,63.17,-122.02,101.89,0.01,2.01,0.11,-2.2,0.46,True,False,-64.58,0.0,-64.58,-0.0073,0.0016,29.87
29.0,203.24,-38.57,-116.55,63.38,-122.03,102.11,0.02,1.8,0.24,-1.8,0.31,True,False,-64.45,0.0,-64.45,0.0014,0.0016,31.35
